Global_Temp,,,Local_Temp,,,
year,avg_temp,Global Temperature MA,city,country,avg_temp,Local Temperature MA 
1967,8.7,8.647142857,Cairo,Egypt,20.92,21.76142857
1968,8.52,8.664285714,Cairo,Egypt,21.48,21.56428571
1969,8.6,8.624285714,Cairo,Egypt,21.88,21.61285714
1970,8.7,8.602857143,Cairo,Egypt,21.53,21.58
1971,8.6,8.58,Cairo,Egypt,21.41,21.5
1972,8.5,8.607142857,Cairo,Egypt,21.57,21.54857143
1973,8.95,8.602857143,Cairo,Egypt,21.42,21.55571429
1974,8.47,8.652857143,Cairo,Egypt,21.55,21.45857143
1975,8.74,8.62,Cairo,Egypt,21.35,21.54857143
1976,8.35,8.651428571,Cairo,Egypt,21.28,21.53
1977,8.85,8.615714286,Cairo,Egypt,21.57,21.44428571
1978,8.69,8.637142857,Cairo,Egypt,21.67,21.45
1979,8.73,8.65,Cairo,Egypt,22.06,21.48714286
1980,8.98,8.682857143,Cairo,Egypt,21.52,21.55714286
1981,9.17,8.687142857,Cairo,Egypt,21.42,21.57142857
1982,8.64,8.787142857,Cairo,Egypt,21.04,21.55285714
1983,9.03,8.772857143,Cairo,Egypt,20.75,21.50857143
1984,8.69,8.87,Cairo,Egypt,21.32,21.43285714
1985,8.66,8.847142857,Cairo,Egypt,21.72,21.39714286
1986,8.83,8.842857143,Cairo,Egypt,21.52,21.40428571
1987,8.99,8.857142857,Cairo,Egypt,21.24,21.32714286
1988,9.2,8.858571429,Cairo,Egypt,21.65,21.28714286
1989,8.92,8.862857143,Cairo,Egypt,21.43,21.32
1990,9.23,8.902857143,Cairo,Egypt,21.6,21.37571429
1991,9.18,8.931428571,Cairo,Egypt,21.65,21.49714286
1992,8.84,9.001428571,Cairo,Egypt,21.11,21.54428571
1993,8.87,9.027142857,Cairo,Egypt,21.79,21.45714286
1994,9.04,9.032857143,Cairo,Egypt,22.02,21.49571429
1995,9.35,9.04,Cairo,Egypt,21.56,21.60714286
1996,9.04,9.061428571,Cairo,Egypt,21.88,21.59428571
1997,9.2,9.078571429,Cairo,Egypt,21.45,21.65857143
1998,9.52,9.074285714,Cairo,Egypt,22.36,21.63714286
1999,9.29,9.122857143,Cairo,Egypt,22.28,21.73857143
2000,9.2,9.187142857,Cairo,Egypt,21.49,21.90571429
2001,9.41,9.234285714,Cairo,Egypt,22.33,21.86285714
2002,9.57,9.287142857,Cairo,Egypt,22.41,21.90714286
2003,9.53,9.318571429,Cairo,Egypt,22.17,22.02857143
2004,9.32,9.388571429,Cairo,Egypt,22.08,22.07
2005,9.7,9.405714286,Cairo,Egypt,22.01,22.16
2006,9.53,9.431428571,Cairo,Egypt,22.05,22.11
2007,9.73,9.465714286,Cairo,Egypt,22.36,22.07714286
2008,9.43,9.541428571,Cairo,Egypt,22.64,22.20142857
2009,9.51,9.544285714,Cairo,Egypt,22.63,22.24571429
2010,9.7,9.535714286,Cairo,Egypt,23.72,22.27714286
2011,9.52,9.56,Cairo,Egypt,21.99,22.49857143
2012,9.51,9.588571429,Cairo,Egypt,22.48,22.48571429
2013,9.61,9.561428571,Cairo,Egypt,22.91,22.55285714
